job	band	lpb	mfb	wall_ms_q	cof_ms_q	rel_q	width
c183	20	31/32	60/92	103.41	20.92	67.12	side 0 3 limbs (96 bits), side 1 3 limbs (96 bits); this build carries 3..4
c183	20	32/33	62/95	139.41	49.84	134.53	side 0 3 limbs (96 bits), side 1 3 limbs (96 bits); this build carries 3..4
c183	60	31/32	60/92	100.91	20.54	54.73	side 0 3 limbs (96 bits), side 1 3 limbs (96 bits); this build carries 3..4
c183	60	32/33	62/95	128.84	44.10	113.62	side 0 3 limbs (96 bits), side 1 3 limbs (96 bits); this build carries 3..4
c183	120	31/32	60/92	96.52	14.88	47.18	side 0 3 limbs (96 bits), side 1 3 limbs (96 bits); this build carries 3..4
c183	120	32/33	62/95	123.05	35.41	97.92	side 0 3 limbs (96 bits), side 1 3 limbs (96 bits); this build carries 3..4
c194	40	32/33	63/95	357.87	52.19	130.92	side 0 3 limbs (96 bits), side 1 3 limbs (96 bits); this build carries 3..4
c194	40	33/34	65/98	697.77	361.01	270.98	side 0 3 limbs (96 bits), side 1 4 limbs (128 bits); this build carries 3..4
c194	120	32/33	63/95	346.23	42.41	101.03	side 0 3 limbs (96 bits), side 1 3 limbs (96 bits); this build carries 3..4
c194	120	33/34	65/98	594.67	269.41	206.68	side 0 3 limbs (96 bits), side 1 4 limbs (128 bits); this build carries 3..4
c194	240	32/33	63/95	325.38	33.14	80.35	side 0 3 limbs (96 bits), side 1 3 limbs (96 bits); this build carries 3..4
c194	240	33/34	65/98	539.98	220.53	162.40	side 0 3 limbs (96 bits), side 1 4 limbs (128 bits); this build carries 3..4
as276	40	33/34	64/98	384.50	85.09	69.95	side 0 3 limbs (96 bits), side 1 4 limbs (128 bits); this build carries 3..4
as276	40	34/35	66/101	502.66	190.00	136.83	side 0 3 limbs (96 bits), side 1 4 limbs (128 bits); this build carries 3..4
as276	40	35/36	68/104	840.76	496.04	257.18	side 0 3 limbs (96 bits), side 1 4 limbs (128 bits); this build carries 3..4
as276	120	33/34	64/98	373.44	71.87	50.85	side 0 3 limbs (96 bits), side 1 4 limbs (128 bits); this build carries 3..4
as276	120	34/35	66/101	467.16	155.46	101.13	side 0 3 limbs (96 bits), side 1 4 limbs (128 bits); this build carries 3..4
as276	120	35/36	68/104	722.50	386.67	193.13	side 0 3 limbs (96 bits), side 1 4 limbs (128 bits); this build carries 3..4
as276	240	33/34	64/98	346.55	49.89	41.53	side 0 3 limbs (96 bits), side 1 4 limbs (128 bits); this build carries 3..4
as276	240	34/35	66/101	426.84	122.72	83.72	side 0 3 limbs (96 bits), side 1 4 limbs (128 bits); this build carries 3..4
as276	240	35/36	68/104	639.36	314.68	157.37	side 0 3 limbs (96 bits), side 1 4 limbs (128 bits); this build carries 3..4
c194cap	40	33/34	65/96	450.54	135.47	257.62	side 0 3 limbs (96 bits), side 1 3 limbs (96 bits); this build carries 3..4
as276cap	40	33/34	64/96	332.79	31.12	65.97	side 0 3 limbs (96 bits), side 1 3 limbs (96 bits); this build carries 3..4
