poly	siever	type	size	range_M	lo_rel_s	lo_band	lo_uniq	lo_uniq_pct	hi_rel_s	hi_band	hi_uniq	hi_uniq_pct	tab
12211_67m1_rside	15	SNFS	270	22-176	25.49	22-28	10987695	47.94	14.83	170-176	10514869	69.62	tab1
C180_2712_2064	15	GNFS	180	13-97	24.691	13-20	10247720	40.71	20.437	90-97	18230624	67.35	tab1
141__043_7m1_rside	14	SNFS	247	9-66	56.211	9-15	8076486	52.27	31.675	60-66	5258840	67.91	tab1
141__043_7m1_aside	14	SNFS	247	9-66	43.122	9-15	8129252	63.10	28.176	60-66	7420022	77.14	tab1
12211_67m1_aside	15	SNFS	270	22-176	18.914	22-28	11200344	58.22	14.656	170-176	12418754	78.32	tab1
C176_1134_3839	15	GNFS	176	8-60	37.835	8-14	15019780	45.26	33.057	54-60	25283639	69.46	tab1
C188_966_1117	15	GNFS	188	26-208	25.374	26-32	10285346	40.26	16.233	202-208	12073009	67.22	tab1
C173_2232_1351	14	GNFS	173	25-145	53.619	25-31	9645505	48.01	35.984	139-145	8869969	65.44	tab1
C188_660_1119	15	GNFS	188	26-208	25.647	26-32	10068329	39.84	15.913	202-208	12532237	66.04	tab1
C177_2664_i1303	14	GNFS	177	30-202	31.515	30-36	5568081	40.56	20	196-202	6278226	65.51	tab1
C180_1074_2195	15	GNFS	180	20-112	29.788	20-26	11815345	48.08	20.004	106-112	12121749	66.79	tab1
C170_966_i1121	14	GNFS	170	20-105	65.316	20-26	10898792	48.02	41.788	99-105	14189323	68.57	tab1
100__081_23m1	14	SNFS	221	40-260	44.228	40-46	8847791	52.35	25.673	254-260	6117277	68.44	tab1
771__223_11m1	14	SNFS	249	30-230	37.369	30-36	5138005	42.46	21.901	224-230	5866976	66.16	tab1
189__089_5m1	14	SNFS	222	30-165	10.356	30-36	6793010	50.32	7.308	159-165	10634893	72.20	tab1
293_109m1_aside	15	SNFS	267	30-130	16.366	30-36	10292762	68.80	11.164	124-130	9690203	79.62	tab1
293_109m1_rside	15	SNFS	267	30-130	19.735	30-36	9945185	58.64	12.809	124-130	8822960	71.95	tab1
C167_660_1122	14	GNFS	167	25-135	43.917	25-31	8030873	65.91	35.473	129-135	7743412	77.18	tab1
C168_2712_2065	14	GNFS	168	20-90	69.93	20-26	14167607	56.59	44.444	84-90	13318771	71.02	tab1
C168_3270_728	14	GNFS	168	20-97	57.208	20-26	7445002	47.77	35.137	91-97	7050461	64.55	tab1
C186_1134_i3845	15	GNFS	186	30-195	23.781	30-36	9806181	43.01	19.234	189-195	14592078	66.55	tab1
3067_79m1_aside	15	SNFS	272	20-130	14.684	20-26	8003170	59.21	10.515	124-130	8555697	77.20	tab1
3067_79m1_rside	15	SNFS	272	20-130	18.477	20-26	7883103	49.81	11.848	124-130	8077699	69.14	tab1
C184_2484_i1660	15	GNFS	184	25-150	32.393	25-31	14809344	45.47	23.781	144-150	20005718	69.94	tab1
C186_2982_1495	15	GNFS	186	40-212	20.964	40-46	12391379	47.70	19.47	206-212	13485048	68.16	tab1
C168_1074_2202	14	GNFS	168	30-102	33.322	30-36	9257785	61.60	23.998	96-102	8026083	72.22	tab1
C176_1134_3846	15	GNFS	176	25-75	37.735	25-31	23727679	64.71	31.816	69-75	24982791	73.84	tab1
C191_966_1124	15	GNFS	191	50-300	18.155	50-56	8366574	43.99	11.706	294-300	8283796	65.11	tab1
C189_18528_1579	15	GNFS	189	70-300	18.129	70-76	9619682	51.57	15.008	294-300	9117327	65.85	tab1
C172_2664_1314	14	GNFS	172	30-140	34.223	30-36	8941099	49.20	23.126	134-140	10554937	69.14	tab1
43268024731_23m1	15	SNFS	234	30-218	20.076	30-36	9336722	48.17	10.58	212-218	7387679	67.09	tab1
985__081_13m1	14	SNFS	240	15-105	42.973	15-21	7470722	54.28	26.567	99-105	6487695	69.26	tab1
C188_1074_2206	15	GNFS	188	50-240	22.532	50-56	11977364	50.04	16.017	234-240	11625840	67.70	tab1
C187_2982_i1501	15	GNFS	187	50-230	23.957	50-56	12480771	51.74	16.92	224-230	11494465	69.42	tab1
C195_2514_3158	15	GNFS	195	80-515	12.688	80-86	5112901	42.01	7.316	509-515	4807257	64.76	tab1
C181_966_1127	15	GNFS	181	50-155	21.417	50-56	11079935	57.88	18.281	149-155	12226226	69.64	tab1
C176_2712_i2074	14	GNFS	176	40-213	41.203	40-46	6218459	45.36	23.769	207-213	6341692	66.02	tab1
45319_59m1	15	GNFS	176	40-110	31.535	40-46	18384909	64.41	25.068	104-110	19799524	75.73	tab1
751__097_13m1	15	GNFS	187	50-245	23.364	50-56	11679920	50.68	16.294	239-245	11550172	69.41	tab1
C188_2484_1687	15	GNFS	188	50-238	22.696	50-56	12966207	53.96	16.225	232-238	12602581	71.01	tab1
C188_2982_1504	15	GNFS	188	50-245	23.337	50-56	11333260	48.74	16.072	239-245	11561896	68.13	tab1
C172_1632_1554	14	GNFS	172	40-155	31.123	40-46	8428512	54.92	20.12	149-155	8501347	71.10	tab1
C184_2232_1397	15	GNFS	184	50-230	13.248	50-56	6730289	50.53	10.519	224-230	6388787	67.58	tab1
C194_660_1140	15	GNFS	194	80-470	11.088	80-86	4602782	39.88	7.873	464-470	4929984	61.39	tab1
187__319_11m1	14	SNFS	242	30-150	52.631	30-36	9113399	53.84	33.311	144-150	10406614	71.79	tab1
C178_966_1132	15	GNFS	178	30-123	26.546	30-36	11399254	52.85	19.402	117-123	13818645	71.86	tab1
C175_1134_3874	14	GNFS	175	40-188	41.999	40-46	7839113	52.26	26.102	182-188	7805407	69.68	tab1
